,OTU,Sample,Abundance,depth_m,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,Abundance_P,AA_Genus,Phylum_Genus
20,Otu00002,LC-3m-E1,0.122295017,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,12.22950169,11699.55661,Actinobacteria|acI-B
70,Otu00007,LC-3m-E1,0.106412547,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,10.64125472,10180.13368,Actinobacteria|acI-A
213,Otu00035,LC-3m-E1,0.058566607,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betII,Pnec,5.856660711,5602.87208,Proteobacteria|Pnec
131,Otu00019,LC-3m-E1,0.051618027,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,5.16180266,4938.124545,Bacteroidetes|unclassified
82,Otu00009,LC-3m-E1,0.050526107,3,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,uncultured,uncultured_fa,uncultured_ge,5.052610681,4833.664218,Verrucomicrobia|uncultured_ge
60,Otu00006,LC-3m-E1,0.044934154,3,95666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,4.493415393,4298.700726,Cyanobacteria|Chloroplast_ge
122,Otu00017,LC-3m-E1,0.043345907,3,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae_ge,4.334590696,4146.758432,Verrucomicrobia|Pedosphaeraceae_ge
179,Otu00026,LC-3m-E1,0.043015022,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,4.301502217,4115.103788,Proteobacteria|betIV-A
262,Otu00045,LC-3m-E1,0.042121633,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,4.212163325,4029.636247,Bacteroidetes|unclassified
185,Otu00028,LC-3m-E1,0.040599563,3,95666.66667,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,4.059956323,3884.024883,Armatimonadetes|Armatimonas
169,Otu00025,LC-3m-E1,0.040301767,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acTH1,acTH1-A,4.030176692,3855.535703,Actinobacteria|acTH1-A
254,Otu00040,LC-3m-E1,0.036893654,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,alfV,alfV-A,3.689365363,3529.492864,Proteobacteria|alfV-A
157,Otu00022,LC-3m-E1,0.028092118,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-A,2.809211832,2687.47932,Bacteroidetes|bacI-A
248,Otu00039,LC-3m-E1,0.027231818,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Luna1,Luna1-A,2.723181788,2605.177244,Actinobacteria|Luna1-A
192,Otu00031,LC-3m-E1,0.026139898,3,95666.66667,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,acIV,acIV-A,2.613989809,2500.716917,Actinobacteria|acIV-A
339,Otu00057,LC-3m-E1,0.025246509,3,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,2.524650917,2415.249377,Verrucomicrobia|Luteolibacter
113,Otu00014,LC-3m-E1,0.02478327,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI_unclassified,2.478327047,2370.932875,Actinobacteria|acI_unclassified
49,Otu00005,LC-3m-E1,0.020779565,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,2.077956456,1987.911676,Proteobacteria|betI-B
464,Otu00085,LC-3m-E1,0.015022169,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,unclassified,1.502216928,1437.120861,Bacteroidetes|unclassified
531,Otu00096,LC-3m-E1,0.014294223,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,bacIII,bacIII-B,1.429422275,1367.480643,Bacteroidetes|bacIII-B
699,Otu00123,LC-3m-E1,0.010919198,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,1.091919794,1044.603269,Bacteroidetes|Bacteroidia_unclassified
725,Otu00130,LC-3m-E1,0.009496393,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,AKYH767,AKYH767_ge,0.949639336,908.4882977,Bacteroidetes|AKYH767_ge
287,Otu00047,LC-3m-E1,0.008735358,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,bacIII,bacIII-A,0.873535835,835.6826153,Bacteroidetes|bacIII-A
30,Otu00003,LC-3m-E1,0.008569916,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,0.856991596,819.8552931,Bacteroidetes|bacII-A
232,Otu00038,LC-3m-E1,0.00761035,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-A,0.761035008,728.056824,Proteobacteria|betI-A
304,Otu00050,LC-3m-E1,0.006849315,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Emticicia,0.684931507,655.2511416,Bacteroidetes|Emticicia
79,Otu00008,LC-3m-E1,0.006419165,3,95666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,0.641916485,614.1001037,Cyanobacteria|Oxyphotobacteria_unclassified
843,Otu00147,LC-3m-E1,0.00608828,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,gamIV,gamIV-A,0.608828006,582.4454592,Proteobacteria|gamIV-A
851,Otu00149,LC-3m-E1,0.004897095,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge,0.489709483,468.4887389,Bacteroidetes|NS9_marine_group_ge
709,Otu00125,LC-3m-E1,0.004500033,3,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutaceae_unclassified,0.450003309,430.5031655,Verrucomicrobia|Opitutaceae_unclassified
877,Otu00156,LC-3m-E1,0.004500033,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betVII,betVII-B,0.450003309,430.5031655,Proteobacteria|betVII-B
1116,Otu00193,LC-3m-E1,0.004003706,3,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,0.400370591,383.0211987,Verrucomicrobia|Prosthecobacter
1181,Otu00207,LC-3m-E1,0.003639733,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,0.363973265,348.2010897,Bacteroidetes|Pedobacter
594,Otu00106,LC-3m-E1,0.003275759,3,95666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,0.327575938,313.3809808,Cyanobacteria|Cyanobium_PCC-6307
1276,Otu00228,LC-3m-E1,0.002911786,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,alfIII,unclassified,0.291178612,278.5608718,Proteobacteria|unclassified
735,Otu00132,LC-3m-E1,0.002878698,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,alfIV,alfIV_unclassified,0.287869764,275.3954073,Proteobacteria|alfIV_unclassified
1075,Otu00187,LC-3m-E1,0.002746344,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,alfIV,alfIV-B,0.274634372,262.7335495,Proteobacteria|alfIV-B
622,Otu00113,LC-3m-E1,0.002580901,3,95666.66667,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,acIV,acIV-B,0.258090133,246.9062273,Actinobacteria|acIV-B
657,Otu00118,LC-3m-E1,0.002547813,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group_ge,0.254781285,243.7407628,Bacteroidetes|NS11-12_marine_group_ge
1196,Otu00209,LC-3m-E1,0.002316194,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,0.23161935,221.5825116,Bacteroidetes|uncultured
1348,Otu00240,LC-3m-E1,0.002316194,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betVII,betVII-A,0.23161935,221.5825116,Proteobacteria|betVII-A
611,Otu00111,LC-3m-E1,0.001985309,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,alfVI,unclassified,0.198530872,189.9278671,Proteobacteria|unclassified
1240,Otu00222,LC-3m-E1,0.001852955,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,37-13,37-13_ge,0.18529548,177.2660093,Bacteroidetes|37-13_ge
1161,Otu00204,LC-3m-E1,0.001687512,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,0.168751241,161.4386871,Proteobacteria|Sphingomonas
607,Otu00107,LC-3m-E1,0.001588247,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acSTL,acSTL-A,0.158824697,151.9422937,Actinobacteria|acSTL-A
1433,Otu00266,LC-3m-E1,0.00152207,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,gamV,gamV_unclassified,0.152207002,145.6113648,Proteobacteria|gamV_unclassified
356,Otu00059,LC-3m-E1,0.001422805,3,95666.66667,Bacteria,Chloroflexi,SL56_marine_group,SL56_marine_group_or,SL56_marine_group_fa,SL56_marine_group_ge,0.142280458,136.1149714,Chloroflexi|SL56_marine_group_ge
687,Otu00122,LC-3m-E1,0.001356628,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-C,0.135662762,129.7840425,Actinobacteria|acI-C
1217,Otu00218,LC-3m-E1,0.001290451,3,95666.66667,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,0.129045067,123.4531136,Bacteria_unclassified|Bacteria_unclassified
1548,Otu00304,LC-3m-E1,0.001257362,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,0.125736219,120.2876492,Proteobacteria|Brevundimonas
1202,Otu00217,LC-3m-E1,0.001224274,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,alfVIII,unclassified,0.122427371,117.1221847,Proteobacteria|unclassified
1698,Otu00377,LC-3m-E1,0.001158097,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,0.115809675,110.7912558,Proteobacteria|Sphingobium
293,Otu00049,LC-3m-E1,0.00109192,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales_unclassified,Betaproteobacteriales_unclassified,0.109191979,104.4603269,Proteobacteria|Betaproteobacteriales_unclassified
1560,Otu00305,LC-3m-E1,0.001025743,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,0.102574284,98.12939801,Bacteroidetes|uncultured
895,Otu00159,LC-3m-E1,0.000992654,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,bacVI-B,0.099265436,94.96393356,Bacteroidetes|bacVI-B
1160,Otu00201,LC-3m-E1,0.000992654,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIII,betIII-A,0.099265436,94.96393356,Proteobacteria|betIII-A
1571,Otu00309,LC-3m-E1,0.000926477,3,95666.66667,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,acIV,acIV-C,0.09264774,88.63300466,Actinobacteria|acIV-C
1107,Otu00192,LC-3m-E1,0.000827212,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,alfII,alfII-A,0.082721196,79.1366113,Proteobacteria|alfII-A
1263,Otu00227,LC-3m-E1,0.000827212,3,95666.66667,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,0.082721196,79.1366113,Proteobacteria|Proteobacteria_unclassified
1414,Otu00259,LC-3m-E1,0.00066177,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,uncultured,0.066176957,63.30928904,Bacteroidetes|uncultured
1645,Otu00346,LC-3m-E1,0.00066177,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,0.066176957,63.30928904,Proteobacteria|Alkanindiges
521,Otu00095,LC-3m-E1,0.000628681,3,95666.66667,Bacteria,Patescibacteria,Parcubacteria,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified,0.062868109,60.14382459,Patescibacteria|Parcubacteria_unclassified
1230,Otu00220,LC-3m-E1,0.000628681,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,0.062868109,60.14382459,Proteobacteria|Aeromonas
1292,Otu00234,LC-3m-E1,0.000562504,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,0.056250414,53.81289568,Bacteroidetes|Ferruginibacter
1687,Otu00368,LC-3m-E1,0.000529416,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,T34,T34_ge,0.052941566,50.64743123,Proteobacteria|T34_ge
1733,Otu00404,LC-3m-E1,0.000529416,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae_unclassified,0.052941566,50.64743123,Proteobacteria|Sphingomonadaceae_unclassified
1714,Otu00382,LC-3m-E1,0.000264708,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,0.026470783,25.32371562,Proteobacteria|Alphaproteobacteria_unclassified
1380,Otu00251,LC-3m-E1,0.000198531,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified,0.019853087,18.99278671,Bacteroidetes|Sphingobacteriales_unclassified
4,Otu00001,LC-3m-E1,0.000165442,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Chromatium,0.016544239,15.82732226,Proteobacteria|Chromatium
404,Otu00070,LC-3m-E1,0.000165442,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17_ge,0.016544239,15.82732226,Bacteroidetes|env.OPS_17_ge
474,Otu00086,LC-3m-E1,0.000165442,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Halothiobacillales,Halothiobacillaceae,Thiovirga,0.016544239,15.82732226,Proteobacteria|Thiovirga
830,Otu00142,LC-3m-E1,0.000165442,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,0.016544239,15.82732226,Proteobacteria|Caulobacter
1365,Otu00244,LC-3m-E1,0.000165442,3,95666.66667,Bacteria,Patescibacteria,Parcubacteria,Parcubacteria_or,Parcubacteria_fa,Parcubacteria_ge,0.016544239,15.82732226,Patescibacteria|Parcubacteria_ge
1444,Otu00270,LC-3m-E1,0.000165442,3,95666.66667,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales_unclassified,Myxococcales_unclassified,0.016544239,15.82732226,Proteobacteria|Myxococcales_unclassified
1774,Otu00527,LC-3m-E1,0.000165442,3,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,0.016544239,15.82732226,Verrucomicrobia|Chthoniobacter
108,Otu00013,LC-3m-E1,9.93E-05,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,gamI,unclassified,0.009926544,9.496393356,Proteobacteria|unclassified
227,Otu00037,LC-3m-E1,9.93E-05,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,uncultured,0.009926544,9.496393356,Proteobacteria|uncultured
446,Otu00076,LC-3m-E1,9.93E-05,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Lamprocystis,0.009926544,9.496393356,Proteobacteria|Lamprocystis
939,Otu00163,LC-3m-E1,9.93E-05,3,95666.66667,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,0.009926544,9.496393356,Proteobacteria|Peredibacter
1140,Otu00197,LC-3m-E1,9.93E-05,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophagaceae_unclassified,0.009926544,9.496393356,Bacteroidetes|Chitinophagaceae_unclassified
280,Otu00046,LC-3m-E1,6.62E-05,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,WCHB1-32,0.006617696,6.330928904,Bacteroidetes|WCHB1-32
744,Otu00133,LC-3m-E1,6.62E-05,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,0.006617696,6.330928904,Bacteroidetes|Solitalea
862,Otu00151,LC-3m-E1,6.62E-05,3,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,uncultured,0.006617696,6.330928904,Verrucomicrobia|uncultured
978,Otu00172,LC-3m-E1,6.62E-05,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified,0.006617696,6.330928904,Actinobacteria|Actinobacteria_unclassified
1089,Otu00190,LC-3m-E1,6.62E-05,3,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Polymorphobacter,0.006617696,6.330928904,Proteobacteria|Polymorphobacter
1635,Otu00338,LC-3m-E1,6.62E-05,3,95666.66667,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,0.006617696,6.330928904,Proteobacteria|uncultured
201,Otu00034,LC-3m-E1,3.31E-05,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacIV,bacIV-B,0.003308848,3.165464452,Bacteroidetes|bacIV-B
642,Otu00117,LC-3m-E1,3.31E-05,3,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Luna3,unclassified,0.003308848,3.165464452,Actinobacteria|unclassified
781,Otu00137,LC-3m-E1,3.31E-05,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,0.003308848,3.165464452,Bacteroidetes|uncultured
807,Otu00139,LC-3m-E1,3.31E-05,3,95666.66667,Bacteria,Omnitrophicaeota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus_Omnitrophus,0.003308848,3.165464452,Omnitrophicaeota|Candidatus_Omnitrophus
820,Otu00141,LC-3m-E1,3.31E-05,3,95666.66667,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfuricurvum,0.003308848,3.165464452,Epsilonbacteraeota|Sulfuricurvum
837,Otu00146,LC-3m-E1,3.31E-05,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Runella,0.003308848,3.165464452,Bacteroidetes|Runella
1512,Otu00286,LC-3m-E1,3.31E-05,3,95666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena_PCC-7429,0.003308848,3.165464452,Cyanobacteria|Pseudanabaena_PCC-7429
40,Otu00004,LC-3m-E1,0,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,0,0,Bacteroidetes|Lentimicrobiaceae_ge
91,Otu00012,LC-3m-E1,0,3,95666.66667,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_unclassified,0,0,Firmicutes|Erysipelotrichaceae_unclassified
141,Otu00020,LC-3m-E1,0,3,95666.66667,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,0,0,Bacteroidetes|Chlorobium
319,Otu00053,LC-3m-E1,0,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,BSV13,0,0,Bacteroidetes|BSV13
330,Otu00054,LC-3m-E1,0,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,0,0,Bacteroidetes|Paludibacter
349,Otu00058,LC-3m-E1,0,3,95666.66667,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatirhabdium,0,0,Proteobacteria|Desulfatirhabdium
361,Otu00062,LC-3m-E1,0,3,95666.66667,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa,0,0,Proteobacteria|Desulfocapsa
375,Otu00066,LC-3m-E1,0,3,95666.66667,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,uncultured,0,0,Planctomycetes|uncultured
388,Otu00067,LC-3m-E1,0,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,KD1-131,KD1-131_ge,0,0,Bacteroidetes|KD1-131_ge
396,Otu00069,LC-3m-E1,0,3,95666.66667,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophagaceae_unclassified,0,0,Acidobacteria|Holophagaceae_unclassified
413,Otu00072,LC-3m-E1,0,3,95666.66667,Bacteria,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22_fa,JGI_0000069-P22_ge,0,0,Patescibacteria|JGI_0000069-P22_ge
430,Otu00074,LC-3m-E1,0,3,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,verI-B,Xip-B1,0,0,Verrucomicrobia|Xip-B1
439,Otu00075,LC-3m-E1,0,3,95666.66667,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Anaerovorax,0,0,Firmicutes|Anaerovorax
452,Otu00077,LC-3m-E1,0,3,95666.66667,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),Absconditabacteriales_(SR1)_fa,Absconditabacteriales_(SR1)_ge,0,0,Patescibacteria|Absconditabacteriales_(SR1)_ge
487,Otu00087,LC-3m-E1,0,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiocystis,0,0,Proteobacteria|Thiocystis
493,Otu00089,LC-3m-E1,0,3,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,0,0,Verrucomicrobia|Terrimicrobium
503,Otu00092,LC-3m-E1,0,3,95666.66667,Bacteria,Kiritimatiellaeota,Kiritimatiellae,WCHB1-41,WCHB1-41_fa,WCHB1-41_ge,0,0,Kiritimatiellaeota|WCHB1-41_ge
512,Otu00094,LC-3m-E1,0,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,uncultured,0,0,Proteobacteria|uncultured
548,Otu00098,LC-3m-E1,0,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,FTLpost3,FTLpost3_ge,0,0,Bacteroidetes|FTLpost3_ge
557,Otu00100,LC-3m-E1,0,3,95666.66667,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,0,0,Spirochaetes|uncultured
565,Otu00102,LC-3m-E1,0,3,95666.66667,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,0,0,Acidobacteria|Geothrix
574,Otu00104,LC-3m-E1,0,3,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,0,0,Proteobacteria|Burkholderiaceae_unclassified
589,Otu00105,LC-3m-E1,0,3,95666.66667,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae_ge,0,0,Proteobacteria|Desulfobulbaceae_ge
633,Otu00116,LC-3m-E1,0,3,95666.66667,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,0,0,Proteobacteria|Bdellovibrio
663,Otu00119,LC-3m-E1,0,3,95666.66667,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,0,0,Proteobacteria|Desulfobulbus
677,Otu00120,LC-3m-E1,0,3,95666.66667,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured,0,0,Planctomycetes|uncultured
717,Otu00126,LC-3m-E1,0,3,95666.66667,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,0,0,Planctomycetes|uncultured
753,Otu00134,LC-3m-E1,0,3,95666.66667,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_ge,0,0,Firmicutes|Family_XIII_ge
763,Otu00135,LC-3m-E1,0,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-B,0,0,Bacteroidetes|bacI-B
773,Otu00136,LC-3m-E1,0,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,0,0,Bacteroidetes|Bacteroidetes_unclassified
799,Otu00138,LC-3m-E1,0,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,uncultured,0,0,Bacteroidetes|uncultured
888,Otu00157,LC-3m-E1,0,3,95666.66667,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfomonile,0,0,Proteobacteria|Desulfomonile
901,Otu00160,LC-3m-E1,0,3,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2_ge,0,0,Bacteroidetes|Bacteroidetes_BD2-2_ge
911,Otu00161,LC-3m-E1,0,3,95666.66667,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,0,0,Proteobacteria|Smithella
921,Otu00162,LC-3m-E1,0,3,95666.66667,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,0,0,Proteobacteria|Geobacter
947,Otu00164,LC-3m-E1,0,3,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaera,0,0,Verrucomicrobia|Pedosphaera
